Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
XGBoost,0.9339709966059858,0.9643527204502814,0.7249647390691114,0.8276972624798712,0.9382104409120382,0.890712745203363
Random Forest,0.9352051835853131,0.9734345351043643,0.7235543018335684,0.8300970873786407,0.9340225786937076,0.889259773335769
Gradient Boosting,0.9250231410058624,0.9363295880149812,0.7052186177715092,0.8045052292839904,0.9268069695207408,0.873782540711214
Logistic Regression,0.8065411909904351,0.5399221032132424,0.7820874471086037,0.6388248847926268,0.8716181814940831,0.7064375127613107
